Customer ID,Gender,DOB,Age,Age Range,Work Activity,Income,Income Range,Marital Status,Habitation,Trans Description,Trans Amount,Trans Date,Trans Category,Bank Branch,Account Type,Open Date,Account Balance,Currency
fe51c153-fbec-4b64-9b00-2530035ef0e1_e8ca5ce0-a105-4fc0-9dbe-2a269e855950,Other,1973-01-30,48,40 - 49,fulltime,115128.2,Above 100K,Separated,With Parent,E TFR C0***Mse,43,2018-08-08,Transfer,507,DDA,2018-03-01,87800.88,CAD
fe51c153-fbec-4b64-9b00-2530035ef0e1_e8ca5ce0-a105-4fc0-9dbe-2a269e855950,Other,1973-01-30,48,40 - 49,fulltime,115128.2,Above 100K,Separated,With Parent,E TFR C0***Mse,43,2018-08-08,Transfer,507,SDA,2018-03-01,46101.28,CAD
fe51c153-fbec-4b64-9b00-2530035ef0e1_a732785f-45e7-407a-b833-9e3a83a3f3bb,Female,2001-01-28,20,20 - 29,other,0,Below 10K,Single,With Parent,E TFR C0***zao,30,2018-06-26,Transfer,607,DDA,2018-03-01,22.92,CAD
fe51c153-fbec-4b64-9b00-2530035ef0e1_a732785f-45e7-407a-b833-9e3a83a3f3bb,Female,2001-01-28,20,20 - 29,other,0,Below 10K,Single,With Parent,E TFR C0***zao,30,2018-06-26,Transfer,607,SDA,2018-03-01,134.22,CAD
fe51c153-fbec-4b64-9b00-2530035ef0e1_35a08194-8a3d-4a2b-81fc-972d30cf6429,Female,1990-04-03,31,30 - 39,parttime,16748.49,10K - 20K,Single,With Spouse,ADP PMT 88269935,644.17,2018-05-17,Income,1857,DDA,2018-03-01,8531.45,CAD
fe51c153-fbec-4b64-9b00-2530035ef0e1_35a08194-8a3d-4a2b-81fc-972d30cf6429,Female,1990-04-03,31,30 - 39,parttime,16748.49,10K - 20K,Single,With Spouse,ADP PMT 88269935,644.17,2018-05-17,Income,1857,SDA,2018-03-01,6899.4,CAD
fe51c153-fbec-4b64-9b00-2530035ef0e1_1d8ed6e0-ff3e-4f0d-9442-dcb94e88025a,Female,1997-11-23,24,20 - 29,fulltime,24129.27,20K - 30K,Single,other,ADP PMT 71843299,1923.08,2018-05-31,Income,1800,DDA,2018-03-01,31421.76,CAD
fe51c153-fbec-4b64-9b00-2530035ef0e1_1d8ed6e0-ff3e-4f0d-9442-dcb94e88025a,Female,1997-11-23,24,20 - 29,fulltime,24129.27,20K - 30K,Single,other,ADP PMT 71843299,1923.08,2018-05-31,Income,1800,SDA,2018-03-01,9651.7,CAD
fe51c153-fbec-4b64-9b00-2530035ef0e1_8f47e887-ab21-4e30-8090-e4dd81f531e5,Female,1974-06-08,47,40 - 49,fulltime,37039.2,30K - 40K,Divorced,Group,CHQ#000441-1948586825,0,2018-09-04,Mortgage and Rent,12082,DDA,2018-03-01,21399.23,CAD
fe51c153-fbec-4b64-9b00-2530035ef0e1_8f47e887-ab21-4e30-8090-e4dd81f531e5,Female,1974-06-08,47,40 - 49,fulltime,37039.2,30K - 40K,Divorced,Group,CHQ#000441-1948586825,0,2018-09-04,Mortgage and Rent,12082,SDA,2018-03-01,15015.68,CAD
fe51c153-fbec-4b64-9b00-2530035ef0e1_333952f3-81e5-479f-a223-2b5a0fabbbd8,Male,1993-12-25,28,20 - 29,other,0,Below 10K,Single,With Parent,E TFR C0***AHF,52,2018-10-12,Transfer,335,DDA,2018-03-01,1471.51,CAD
fe51c153-fbec-4b64-9b00-2530035ef0e1_333952f3-81e5-479f-a223-2b5a0fabbbd8,Male,1993-12-25,28,20 - 29,other,0,Below 10K,Single,With Parent,E TFR C0***AHF,52,2018-10-12,Transfer,335,SDA,2018-03-01,117.02,CAD
fe51c153-fbec-4b64-9b00-2530035ef0e1_402dbd46-b0d4-4c93-b1c1-2ba76d32230d,Female,1997-08-16,24,20 - 29,fulltime,48213.33,40K - 50K,Single,other,ADP PMT 49889495,1923.08,2018-10-18,Income,1968,DDA,2018-03-01,29452.19,CAD
fe51c153-fbec-4b64-9b00-2530035ef0e1_402dbd46-b0d4-4c93-b1c1-2ba76d32230d,Female,1997-08-16,24,20 - 29,fulltime,48213.33,40K - 50K,Single,other,ADP PMT 49889495,1923.08,2018-10-18,Income,1968,SDA,2018-03-01,19285.34,CAD
fe51c153-fbec-4b64-9b00-2530035ef0e1_c4e480cb-6e00-4a7b-928f-56b2280cbf5c,Other,1966-01-28,55,50 - 59,fulltime,96984.1,90K - 100K,Married,With Spouse,ADP PMT 94379839,3730.16,2018-10-04,Income,1198,DDA,2018-03-01,67368.69,CAD
fe51c153-fbec-4b64-9b00-2530035ef0e1_c4e480cb-6e00-4a7b-928f-56b2280cbf5c,Other,1966-01-28,55,50 - 59,fulltime,96984.1,90K - 100K,Married,With Spouse,ADP PMT 94379839,3730.16,2018-10-04,Income,1198,SDA,2018-03-01,38993.64,CAD
fe51c153-fbec-4b64-9b00-2530035ef0e1_981fa431-f4af-4877-b429-228a851fab80,Male,1996-10-21,25,20 - 29,parttime,15695.79,10K - 20K,Single,With Parent,ADP PMT 98930808,6278.32,2018-03-01,Income,1354,DDA,2018-03-01,12215.43,CAD
fe51c153-fbec-4b64-9b00-2530035ef0e1_981fa431-f4af-4877-b429-228a851fab80,Male,1996-10-21,25,20 - 29,parttime,15695.79,10K - 20K,Single,With Parent,ADP PMT 98930808,6278.32,2018-03-01,Income,1354,SDA,2018-03-01,6328.32,CAD
fe51c153-fbec-4b64-9b00-2530035ef0e1_3a5852d2-3fb6-432f-96b6-afc5475e7fdc,Female,1964-04-05,57,50 - 59,parttime,32065.45,30K - 40K,Married,With Spouse,Amazon`ca,46.82,2018-10-09,Shopping,1080,DDA,2018-03-01,8665.43,CAD
fe51c153-fbec-4b64-9b00-2530035ef0e1_3a5852d2-3fb6-432f-96b6-afc5475e7fdc,Female,1964-04-05,57,50 - 59,parttime,32065.45,30K - 40K,Married,With Spouse,BELL CANADA D9N8A3,99.7,2018-05-21,Bills and Utilities,1080,DDA,2018-03-01,8665.43,CAD
fe51c153-fbec-4b64-9b00-2530035ef0e1_3a5852d2-3fb6-432f-96b6-afc5475e7fdc,Female,1964-04-05,57,50 - 59,parttime,32065.45,30K - 40K,Married,With Spouse,Amazon`ca,46.82,2018-10-09,Shopping,1080,SDA,2018-03-01,13026.18,CAD
fe51c153-fbec-4b64-9b00-2530035ef0e1_3a5852d2-3fb6-432f-96b6-afc5475e7fdc,Female,1964-04-05,57,50 - 59,parttime,32065.45,30K - 40K,Married,With Spouse,BELL CANADA D9N8A3,99.7,2018-05-21,Bills and Utilities,1080,SDA,2018-03-01,13026.18,CAD
fe51c153-fbec-4b64-9b00-2530035ef0e1_a29e74c8-92d1-46ae-8347-1fc2a4372e30,Female,2004-01-30,17,Below 20,other,0,Below 10K,Single,With Parent,H&M CA #905 - TORONTO,21.66,2018-06-04,Shopping,153,DDA,2018-03-01,14.22,CAD
